,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,geo_input,address_candidates
419,Holgate Apartments (2-29),Roxbury,2120,81,81,0,1.0,1.0,0.0,80,80,0.0,Rental,Public,Y,,Holgate Apartments (2-29) Roxbury,"['129 Elm Hill Ave, Boston, MA 02121, United States']"
420,Holmes (VUP),Dorchester,2121,2,2,0,1.0,1.0,0.0,1,1,0.0,Rental,Private,,,Holmes (VUP) Dorchester,"['35 Westville St, Boston, MA 02124, United States']"
421,Home Again (Back of the Hill),Mission Hill,2120,22,6,16,0.0,0.0,0.0,22,6,16.0,Ownership/Rental,Private,,,Home Again (Back of the Hill) Mission Hill,"['60 Ellingwood St, Boston, MA 02120, United States']"
422,Home For Little Wanderers,Mission Hill,2120,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,Home For Little Wanderers Mission Hill,"['69 Alleghany St, Roxbury, MA 02120, United States']"
423,Homes at Peter's Park,South End,2118,10,0,10,7.0,0.0,7.0,3,0,3.0,Ownership,Private,,,Homes at Peter's Park South End,"['230 Shawmut Ave, Boston, MA 02118, United States']"
424,Homestead House,Roxbury,2121,6,6,0,1.0,1.0,0.0,5,5,0.0,Rental,Private,,,Homestead House Roxbury,"['1448 Dorchester Ave, Boston, MA 02122, United States']"
425,Hope House (SPO) (Production),Roxbury,2119,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,,,Hope House (SPO) (Production) Roxbury,"['8 Farnham St, Boston, MA 02119, United States']"
426,Hope House II,Dorchester,2125,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,Hope House II Dorchester,"['8 Farnham St, Boston, MA 02119, United States']"
427,Hopkins-Capen-Mountain-Fuller,Dorchester,2124,9,5,4,0.0,0.0,0.0,9,5,4.0,Ownership/Rental,Private,,,Hopkins-Capen-Mountain-Fuller Dorchester,"['851 Washington St, Dorchester Center, MA 02124, United States']"
428,Horizons I,Mattapan,2126,7,7,0,1.0,1.0,0.0,6,6,0.0,Rental,Public,,,Horizons I Mattapan,"['1601 Blue Hill Avenue #205, Mattapan, MA 02126, United States']"
429,Howard Dacia Homes,Roxbury,2125,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,,Howard Dacia Homes Roxbury,"['Dacia St, Boston, MA 02125, USA']"
430,Howard/Woodward/Dean,Roxbury,2125,9,0,9,0.0,0.0,0.0,9,0,9.0,Ownership,Private,,,Howard/Woodward/Dean Roxbury,[]
431,Hub 25,Dorchester,2124,278,278,0,242.0,242.0,0.0,36,36,0.0,Rental,Private,,,Hub 25 Dorchester,"['25 Morrissey Blvd, Boston, MA 02125, United States']"
432,Humboldt Avenue Apts,Roxbury,2119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,Humboldt Avenue Apts Roxbury,"['278 Humboldt Ave, Dorchester, MA 02121, United States']"
433,Humphreys St Housing Homeownership,Dorchester,2125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,,Humphreys St Housing Homeownership Dorchester,"['1803 Dorchester Ave, Dorchester Center, MA 02124, United States']"
434,Humphreys St Housing Rental,Dorchester,2125,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,Humphreys St Housing Rental Dorchester,"['86 Crawford St, Dorchester, MA 02121, United States']"
435,Humphreys Street Homeowner,Dorchester,2125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,,Humphreys Street Homeowner Dorchester,"['1803 Dorchester Ave, Dorchester Center, MA 02124, United States']"
436,Hunt (VUP),Dorchester,2121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,Hunt (VUP) Dorchester,"['35 Westville St, Boston, MA 02124, United States', '2180 Dorchester Ave, Boston, MA 02124, United States']"
437,Huntington House,Fenway,2115,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Public,,,Huntington House Fenway,"['VA Medical Center, 150 S Huntington Ave, Boston, MA 02130, United States']"
438,Hurley (VUP),Dorchester,2122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Hurley (VUP) Dorchester,"['35 Westville St, Boston, MA 02124, United States']"
439,Hyde Square Commons,Jamaica Plain,2130,18,0,18,17.0,0.0,17.0,1,0,1.0,Ownership,Private,,,Hyde Square Commons Jamaica Plain,"['390-401 Centre St, Jamaica Plain, MA 02130, United States']"
440,Hyde Square Coop,Jamaica Plain,2130,42,42,0,0.0,0.0,0.0,42,42,0.0,Cooperative,Private,,,Hyde Square Coop Jamaica Plain,"['91 Minden St, Jamaica Plain, MA 02130, United States']"
441,Hyde/Jackson Homes,Jamaica Plain,2130,13,2,11,0.0,0.0,0.0,13,2,11.0,Ownership/Rental,Private,,,Hyde/Jackson Homes Jamaica Plain,"['390-401 Centre St, Jamaica Plain, MA 02130, United States']"
442,Hyde-Blakemore,Roslindale,2131,13,0,13,0.0,0.0,0.0,13,0,13.0,Ownership,Private,,,Hyde-Blakemore Roslindale,"['450 Hyde Park Ave, Roslindale, MA 02131, United States']"
443,IBA SRO Collaborative,South End,2118,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,IBA SRO Collaborative South End,"['405 Shawmut Ave, Boston, MA 02118, United States']"
444,Independent Living Project,Hyde Park,2136,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,Independent Living Project Hyde Park,"['60 Temple Pl, Boston, MA 02111, United States']"
445,Indigo Block (Rental),Dorchester,2125,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,,Indigo Block (Rental) Dorchester,"['67 E Cottage St, Boston, MA 02125, United States']"
446,Infill Apartments,Roxbury,2119,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,Infill Apartments Roxbury,"['1 Newcomb St, Boston, MA 02118, United States']"
447,Infill Colaborative,Roxbury,2120,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,,Infill Colaborative Roxbury,"['1904 Washington St, Boston, MA 02118, United States']"
448,Infill I,Dorchester,2121,48,0,48,31.0,0.0,31.0,17,0,17.0,Ownership,Private,,,Infill I Dorchester,"['Butler St &, Branchfield St, Dorchester, MA 02124, United States']"
449,Infill I (MHFA) ?,Dorchester,2124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Public,,,Infill I (MHFA) ? Dorchester,[]
450,Ingram (VUP),Roxbury,2121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,Ingram (VUP) Roxbury,"['Park Plaza #20, Boston, MA 02116, United States']"
451,Ink Block (Buildings 1-3),South End,2118,315,315,0,274.0,274.0,0.0,41,41,0.0,Rental,Private,,,Ink Block (Buildings 1-3) South End,"['300 Harrison Ave, Boston, MA 02118, United States']"
452,Ink Block Sepia (Building 4),South End,2118,77,0,77,69.0,0.0,69.0,8,0,8.0,Ownership,Private,,,Ink Block Sepia (Building 4) South End,"['300 Harrison Ave, Boston, MA 02118, United States', '40 Traveler St, Boston, MA 02118, United States']"
453,Ink Block Siena (Building 5),South End,2118,76,0,76,74.0,0.0,74.0,2,0,2.0,Ownership,Private,,,Ink Block Siena (Building 5) South End,"['40 Traveler St, Boston, MA 02118, United States', '300 Harrison Ave, Boston, MA 02118, United States']"
454,Interfaith Apartments,South End,2118,69,69,0,0.0,0.0,0.0,69,69,0.0,Rental,Private,,Y,Interfaith Apartments South End,"['282 Columbus Ave, Boston, MA 02116, United States']"
455,Intervale St. HOME AGAIN,Dorchester,2121,15,2,13,0.0,0.0,0.0,15,2,13.0,Ownership/Rental,Private,,,Intervale St. HOME AGAIN Dorchester,"['127 Pleasant St, Dorchester, MA 02125, United States']"
456,Intervale-Fayston,Dorchester,2121,5,3,2,0.0,0.0,0.0,5,3,2.0,Ownership/Rental,Private,,,Intervale-Fayston Dorchester,"['81-85 Intervale St, Boston, MA 02121, United States']"
457,Intervale-Magnolia,Dorchester,2121,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,,Y,Intervale-Magnolia Dorchester,"['Intervale St & Magnolia St, Boston, MA 02121, USA']"
458,J.J. Carroll Apts (2-37),Brighton,2135,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Public,Y,,J.J. Carroll Apts (2-37) Brighton,[]
459,J.J. Meade (2-38),Dorchester,2124,40,40,0,1.0,1.0,0.0,39,39,0.0,Rental,Public,Y,,J.J. Meade (2-38) Dorchester,[]
460,Jackson (VUP),Dorchester,2124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Jackson (VUP) Dorchester,"['35 Westville St, Boston, MA 02124, United States']"
461,Jackson Commons,Roxbury,2119,37,37,0,0.0,0.0,0.0,37,37,0.0,Rental,Private,,,Jackson Commons Roxbury,"['1542 Columbus Ave, Boston, MA 02119, United States']"
462,Jacob's Place,Dorchester,2121,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,,Jacob's Place Dorchester,"['Jacob St, Boston, MA 02124, USA']"
463,Jamaica Plain Apartments,Jamaica Plain,2130,103,103,0,0.0,0.0,0.0,103,103,0.0,Rental,Private,,Y,Jamaica Plain Apartments Jamaica Plain,"['24 Lawn St B, Boston, MA 02130, United States']"
464,Jamaica Plains Coop Serv,Jamaica Plain,2130,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,Y,,Jamaica Plains Coop Serv Jamaica Plain,"['131 Morton St, Jamaica Plain, MA 02130, United States']"
465,Jewish Community Housing for the Elderly,Brighton,2135,61,0,61,0.0,0.0,0.0,61,61,0.0,Rental,Private,Y,,Jewish Community Housing for the Elderly Brighton,"['30 Wallingford Rd, Brighton, MA 02135, United States', '28 Wallingford Rd, Brighton, MA 02135, United States']"
466,John Boyle O'Reilly School,South Boston,2127,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,Y,Y,John Boyle O'Reilly School South Boston,"[""John Boyle O'Reilly School Management, 345 Dorchester St, South Boston, MA 02127, USA""]"
467,Johnson (VUP) CDFI,Dorchester,2121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Johnson (VUP) CDFI Dorchester,"['594 Columbia Rd, Boston, MA 02125, United States']"
468,JP Cohousing,Jamaica Plain,2130,30,0,30,27.0,0.0,27.0,3,0,3.0,Ownership,Private,,,JP Cohousing Jamaica Plain,"['31 Germania Street, Building A, Jamaica Plain, MA 02130, United States']"
469,Julia Martin House,Jamaica Plain,2130,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,Y,,Julia Martin House Jamaica Plain,"['90 Bickford St, Boston, MA 02130, United States']"
470,Julian Phase I - HOME AGAIN,Roxbury,2119,13,2,11,0.0,0.0,0.0,13,2,11.0,Ownership/Rental,Private,,,Julian Phase I - HOME AGAIN Roxbury,"['550 Dudley St, Roxbury, MA 02119, United States', '404 Neponset Ave, Dorchester, MA 02122, United States']"
471,KAFANM - Circle of Haitian Women (aka Women's Institute),Dorchester,2124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,KAFANM - Circle of Haitian Women (aka Women's Institute) Dorchester,"['330 Fuller St, Dorchester Center, MA 02124, United States']"
472,Kasanof Bakery (Rental & Ownership),Roxbury,2119,64,48,16,0.0,0.0,0.0,64,48,16.0,Ownership/Rental,Private,,,Kasanof Bakery (Rental & Ownership) Roxbury,"['56 Warren St, Boston, MA 02119, United States']"
473,Keazer (VUP),Dorchester,2124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Keazer (VUP) Dorchester,"['1010 Morrissey Blvd, Dorchester, MA 02122, United States']"
474,Kelley (VUP),Jamaica Plain,2119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Kelley (VUP) Jamaica Plain,"['545A Centre St, Jamaica Plain, MA 02130, United States']"
475,Kenmore Abbey,Fenway,2215,199,199,0,1.0,1.0,0.0,198,198,0.0,Rental,Private,Y,Y,Kenmore Abbey Fenway,"['490 Commonwealth Ave, Boston, MA 02215, United States']"
476,Ketchen (VUP),Roxbury,2119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Ketchen (VUP) Roxbury,"['1727 Centre St, West Roxbury, MA 02132, United States']"
477,Keystone Apartments,Dorchester,2124,223,223,0,1.0,1.0,0.0,222,222,0.0,Rental,Private,Y,Y,Keystone Apartments Dorchester,"['151 Hallet St, Boston, MA 02124, United States']"
478,Kimbrough (VUP),Dorchester,2124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Kimbrough (VUP) Dorchester,"['1165 Blue Hill Avenue, Boston, MA 02124, United States']"
479,Kittredge Square,Roxbury,2119,6,0,6,3.0,0.0,3.0,3,0,3.0,Ownership,Private,,,Kittredge Square Roxbury,"['Alvah Kittredge Park, Boston, MA 02119, USA']"
480,Laboure,South Boston,2127,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,Laboure South Boston,"['D St, Boston, MA 02127, United States', '275 W Broadway, Boston, MA 02127, United States']"
481,Laconia Condominiums,South End,2124,99,0,99,71.0,0.0,71.0,28,0,28.0,Ownership,Private,,,Laconia Condominiums South End,"['1200 Washington St, Boston, MA 02118, United States']"
482,Lafayette Lofts,Downtown,2111,42,0,42,38.0,0.0,38.0,4,0,4.0,Ownership,Private,,,Lafayette Lofts Downtown,"['51 Lafayette St, Salem, MA 01970, United States']"
483,Lamartine Homes - Home Again,Jamaica Plain,2130,10,2,8,0.0,0.0,0.0,10,2,8.0,Ownership/Rental,Private,,,Lamartine Homes - Home Again Jamaica Plain,"['155 Lamartine St, Jamaica Plain, MA 02130, United States']"
484,Lancaster House Condominium,South End,2118,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,Lancaster House Condominium South End,"['1501 Commonwealth Ave, Brighton, MA 02135, United States']"
485,Landfall Apartments,East Boston,2128,111,111,0,16.0,16.0,0.0,95,95,0.0,Rental,Private,Y,Y,Landfall Apartments East Boston,"['401 Border St, Boston, MA 02128, United States']"
486,Landfall West Apts,East Boston,2128,59,59,0,0.0,0.0,0.0,59,59,0.0,Rental,Private,Y,,Landfall West Apts East Boston,"['401 Border St, Boston, MA 02128, United States']"
487,Langham Court,South End,2118,84,84,0,29.0,29.0,0.0,55,55,0.0,Rental,Private,,,Langham Court South End,"['26 Worcester St, Boston, MA 02118, United States']"
488,Laramie (VUP),Hyde Park,2136,2,1,1,1.0,0.0,1.0,1,1,0.0,Rental,Private,,,Laramie (VUP) Hyde Park,"['900-998 N Television Rd, Laramie, WY 82072, United States']"
489,Larchmont Residence,Dorchester,2124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,Larchmont Residence Dorchester,"['14-15 Argyle Terrace, Dorchester Center, MA 02124, United States']"
490,Larkin (VUP),Jamaica Plain,2130,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,Larkin (VUP) Jamaica Plain,"['659 Centre St, Boston, MA 02130, United States']"
491,Latin Academy Adaptive Re-use,Dorchester,2124,58,58,0,38.0,38.0,0.0,20,20,0.0,Rental,Private,,,Latin Academy Adaptive Re-use Dorchester,"['Boston, MA 02124, United States']"
492,Lawrence (VUP),Dorchester,2121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Lawrence (VUP) Dorchester,"['35 Westville St, Boston, MA 02124, United States']"
493,Lawrence Court,South End,2116,12,0,12,9.0,0.0,9.0,3,0,3.0,Ownership,Private,,,Lawrence Court South End,"['Lawrence Pl, Boston, MA 02135, USA']"
494,LBB Housing,Dorchester,2126,101,101,0,0.0,0.0,0.0,101,101,0.0,Rental,Private,,Y,LBB Housing Dorchester,"['193 Talbot Ave, Boston, MA 02124, United States']"
495,Leila Doe House,Mission Hill,2120,20,20,0,1.0,1.0,0.0,19,19,0.0,Rental,Private,,,Leila Doe House Mission Hill,"['30 Gurney St, Boston, MA 02120, United States']"
496,Lenox Street (2-4),Roxbury,2118,285,285,0,0.0,0.0,0.0,285,285,0.0,Rental,Public,,,Lenox Street (2-4) Roxbury,"['2 Lenox St, Boston, MA 02118, USA']"
497,Levedo Building,Dorchester,2124,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,Levedo Building Dorchester,"['754 Blue Hill Avenue, Dorchester, MA 02121, United States']"
498,Leventhal House,Brighton,2135,254,254,0,1.0,1.0,0.0,253,253,0.0,Rental,Private,Y,Y,Leventhal House Brighton,"['28 Wallingford Rd, Brighton, MA 02135, United States']"
499,Lewis Mall,East Boston,2128,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,Y,,Lewis Mall East Boston,"['5 Lewis Mall, Boston, MA 02128, USA']"
500,Lithgow Apts,Dorchester,2124,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,,Lithgow Apts Dorchester,"['907 Blue Hill Avenue # 13, Dorchester Center, MA 02124, United States']"
501,Little Chestnut Street Condominium,Charlestown,2129,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,Little Chestnut Street Condominium Charlestown,"['33 3rd Ave, Boston, MA 02129, United States']"
502,Lofts at Westinghouse Plaza,Hyde Park,2136,62,16,46,53.0,16.0,37.0,9,0,9.0,Rental,Private,,,Lofts at Westinghouse Plaza Hyde Park,"['1 Westinghouse Plaza Building C, Hyde Park, MA 02136, United States', 'Boston, MA 02136, United States']"
503,LOGO Apts (73u),Roxbury,2119,91,91,0,0.0,0.0,0.0,91,91,0.0,Rental,Private,,Y,LOGO Apts (73u) Roxbury,"['75 St Alphonsus St, Boston, MA 02120, United States']"
504,Long Glen Apartments,Allston,2134,59,59,0,0.0,0.0,0.0,59,59,0.0,Rental,Public/Private,,,Long Glen Apartments Allston,"['1285 Commonwealth Ave, Allston, MA 02134, United States']"
505,Long Glen Rental II (formerly homeownership),Allston,2134,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,,Long Glen Rental II (formerly homeownership) Allston,"['1285 Commonwealth Ave, Allston, MA 02134, United States']"
506,Longfellow School,Roslindale,2131,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,Y,,Longfellow School Roslindale,"['885 South St, Boston, MA 02131, United States']"
507,Longwood Row,Mission Hill,2120,25,25,0,21.0,21.0,0.0,4,4,0.0,Rental,Private,,,Longwood Row Mission Hill,"['1 Sewall St, Boston, MA 02120, United States']"
508,Lorenzo Pitts Portfolio (JPNCD 2018),Roxbury,2119,137,137,0,0.0,0.0,0.0,137,137,0.0,Rental,Private,,Y,Lorenzo Pitts Portfolio (JPNCD 2018) Roxbury,"['270 Roxbury St, Roxbury, MA 02119, United States']"
509,Lowell Square,West End,2114,183,183,0,0.0,0.0,0.0,183,183,0.0,Rental,Private,,Y,Lowell Square West End,"['150 Staniford St, Boston, MA 02114, United States']"
510,Lower Mills (2-57),Dorchester,2124,178,178,0,0.0,0.0,0.0,178,178,0.0,Rental,Public,Y,Y,Lower Mills (2-57) Dorchester,"['2269 Dorchester Ave, Boston, MA 02124, United States']"
511,Lower Roxbury Tenant Corp,Roxbury,2120,70,70,0,17.0,17.0,0.0,53,53,0.0,Rental,Private,,,Lower Roxbury Tenant Corp Roxbury,"['11 New Whitney St, Boston, MA 02115, United States']"
512,Lucerne Gardens,Dorchester,2124,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y,Lucerne Gardens Dorchester,"['65 Winston Rd, Boston, MA 02124, United States']"
513,Lucky Strike Residential Project,Dorchester,2122,22,3,19,19.0,0.0,19.0,3,3,0.0,Ownership/Rental,Private,,,Lucky Strike Residential Project Dorchester,"['145 Ipswich St, Boston, MA 02215, United States']"
514,Luis (VUP),Dorchester,2124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Luis (VUP) Dorchester,"['35 Westville St, Boston, MA 02124, United States']"
515,Lumen,Charlestown,2129,30,0,30,26.0,0.0,26.0,4,0,4.0,Ownership,Private,,,Lumen Charlestown,"['30 Polk St, Boston, MA 02129, United States']"
516,Lyman School Apts for the Elderly,East Boston,2128,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,Y,Y,Lyman School Apts for the Elderly East Boston,"['54 Orleans St # 1, East Boston, MA 02128, United States']"
517,M Walsh (VUP),Dorchester,2122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,M Walsh (VUP) Dorchester,"['840 Harrison Ave 1st Floor, Boston, MA 02118, United States']"
518,M.E. McCormack (2-23),South Boston,2127,1016,1016,0,0.0,0.0,0.0,1016,1016,0.0,Rental,Public,,,M.E. McCormack (2-23) South Boston,"['7 Sterling Square, Boston, MA 02127, United States']"
519,M.L. King Apartments (2-40),Roxbury,2119,104,104,0,2.0,2.0,0.0,102,102,0.0,Rental,Public,Y,,M.L. King Apartments (2-40) Roxbury,"['436 Blue Hill Avenue, Boston, MA 02121, United States']"
520,M.R. Smith (VUP),Mattapan,2126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,M.R. Smith (VUP) Mattapan,"['44 Binney St, Boston, MA 02115, United States']"
521,Madison Melnea Cass Apts,Roxbury,2119,76,76,0,4.0,4.0,0.0,72,72,0.0,Rental,Public/Private,,,Madison Melnea Cass Apts Roxbury,"['600 Melnea Cass Blvd, Boston, MA 02119, United States']"
522,Madison Parcel 10 Bldg C (Belvidere/Dalton East Offsite),Roxbury,2119,30,30,0,9.0,9.0,0.0,21,21,0.0,Rental,Private,,,Madison Parcel 10 Bldg C (Belvidere/Dalton East Offsite) Roxbury,[]
523,Madison Park III,Roxbury,2120,120,120,0,0.0,0.0,0.0,120,120,0.0,Rental,Private,,Y,Madison Park III Roxbury,"['122 Dewitt Dr, Boston, MA 02120, United States']"
524,Madison Park IV,Roxbury,2119,143,143,0,0.0,0.0,0.0,143,143,0.0,Rental,Private,,,Madison Park IV Roxbury,"['122 Dewitt Dr, Boston, MA 02120, United States', '184 Dudley St #102, Boston, MA 02119, United States']"
525,Main Street Townhouses,Charlestown,2129,26,0,26,16.0,0.0,16.0,10,0,10.0,Ownership,Private,,,Main Street Townhouses Charlestown,"['338 Main St, Boston, MA 02129, United States']"
526,MainStay House,Charlestown,2129,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,MainStay House Charlestown,"['29 Crafts St #260, Newton, MA 02458, United States']"
527,Malone Apts (2-89C),Hyde Park,2136,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Public,Y,,Malone Apts (2-89C) Hyde Park,"['735 Truman Pkwy, Hyde Park, MA 02136, United States']"
528,Mandela Homes,Roxbury,2118,276,276,0,0.0,0.0,0.0,276,276,0.0,Rental,Private,,Y,Mandela Homes Roxbury,"['1855 Washington St, Boston, MA 02118, United States']"
529,Manganello (VUP),East Boston,2128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Manganello (VUP) East Boston,"['10 Gove St, Boston, MA 02128, United States']"
530,Maple Commons,Roxbury,2119,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,,,Maple Commons Roxbury,"['15 Maple St, Boston, MA 02121, United States']"
531,Marcus Garvey Gardens,Roxbury,2119,161,161,0,0.0,0.0,0.0,161,161,0.0,Rental,Private,Y,Y,Marcus Garvey Gardens Roxbury,"['Managers Office, 44 John Eliot Sq, Boston, MA 02119, United States']"
532,Marksdale Gardens I&II,Roxbury,2121,178,178,0,0.0,0.0,0.0,178,178,0.0,Cooperative,Private,,Y,Marksdale Gardens I&II Roxbury,"['Marksdale St, Boston, MA 02121, USA']"
533,Marriro (VUP) CDFI,Roxbury,2121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,Marriro (VUP) CDFI Roxbury,"['10 Malcolm X Blvd, Roxbury, MA 02119, United States']"
534,Martinex-Alamo (VUP),Roxbury,2125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,Martinex-Alamo (VUP) Roxbury,[]
535,Mary Colbert Apartments,Charlestown,2129,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,Y,Y,Mary Colbert Apartments Charlestown,"['20 Devens St, Charlestown, MA 02129, United States']"
536,Mason Place,Downtown,2111,128,128,0,0.0,0.0,0.0,128,128,0.0,Rental,Private,Y,Y,Mason Place Downtown,"['Mason St, Boston, MA 02111, United States']"
